Iteration,E_total,E_kinetic,E_potential,Temperature,Pressure,
190      ,-4616.034578,4619.195524,-9235.230102 ,3.082546   ,1.939828,
191      ,-4616.802191,4654.002115,-9270.804306 ,3.105774   ,1.983541,
192      ,-4616.773625,4679.937968,-9296.711593 ,3.123082   ,2.013565,
193      ,-4616.473533,4694.661577,-9311.135110 ,3.132907   ,2.026056,
194      ,-4616.209016,4701.365835,-9317.574851 ,3.137381   ,2.025878,
195      ,-4615.945940,4704.299934,-9320.245874 ,3.139339   ,2.019481,
196      ,-4615.998919,4707.089583,-9323.088503 ,3.141201   ,2.012942,
197      ,-4616.336266,4709.347864,-9325.684130 ,3.142708   ,2.005960,
198      ,-4616.221734,4708.140600,-9324.362334 ,3.141902   ,1.993667,
199      ,-4615.553365,4706.114903,-9321.668268 ,3.140550   ,1.980470,
200      ,-4615.103045,4712.601823,-9327.704868 ,3.144879   ,1.981763,
201      ,-4615.590475,4733.467459,-9349.057935 ,3.158804   ,2.007141,
202      ,-4616.387382,4762.829015,-9379.216397 ,3.178398   ,2.046151,
203      ,-4616.603899,4789.837976,-9406.441875 ,3.196422   ,2.080046,
204      ,-4616.387530,4809.618730,-9426.006261 ,3.209622   ,2.100282,
205      ,-4616.339466,4822.903731,-9439.243197 ,3.218488   ,2.107661,
206      ,-4616.503255,4829.573483,-9446.076738 ,3.222939   ,2.101572,
207      ,-4616.544578,4827.610966,-9444.155544 ,3.221629   ,2.078693,
208      ,-4616.317114,4816.899355,-9433.216469 ,3.214481   ,2.039347,
209      ,-4615.989252,4801.111551,-9417.100804 ,3.203945   ,1.990344,
210      ,-4615.879541,4785.256013,-9401.135554 ,3.193364   ,1.940823,
211      ,-4615.887490,4772.031086,-9387.918576 ,3.184539   ,1.895869,
212      ,-4615.786331,4762.513106,-9378.299438 ,3.178187   ,1.857818,
213      ,-4615.704009,4758.471256,-9374.175265 ,3.175490   ,1.830305,
214      ,-4615.687689,4761.658338,-9377.346027 ,3.177617   ,1.816621,
215      ,-4615.558134,4773.446623,-9389.004757 ,3.185483   ,1.818878,
216      ,-4615.367517,4796.255645,-9411.623162 ,3.200704   ,1.840598,
217      ,-4615.491611,4832.207014,-9447.698625 ,3.224696   ,1.884694,
218      ,-4616.076628,4878.664993,-9494.741621 ,3.255699   ,1.946068,
219      ,-4616.904087,4926.299806,-9543.203893 ,3.287487   ,2.008759,
220      ,-4617.278539,4963.171599,-9580.450138 ,3.312093   ,2.052474,
221      ,-4616.953071,4983.465867,-9600.418938 ,3.325636   ,2.067401,
222      ,-4616.347694,4991.057891,-9607.405585 ,3.330703   ,2.060006,
223      ,-4615.829076,4994.696879,-9610.525955 ,3.333131   ,2.044568,
224      ,-4615.722498,5001.925343,-9617.647841 ,3.337955   ,2.033410,
225      ,-4616.242073,5013.914038,-9630.156111 ,3.345955   ,2.028621,
226      ,-4616.841153,5024.036566,-9640.877719 ,3.352710   ,2.019178,
227      ,-4617.060214,5024.249757,-9641.309971 ,3.352853   ,1.992019,
228      ,-4616.784423,5011.864940,-9628.649363 ,3.344588   ,1.943048,
229      ,-4616.224334,4991.401365,-9607.625699 ,3.330932   ,1.880080,
230      ,-4615.868979,4971.244104,-9587.113084 ,3.317480   ,1.817561,
231      ,-4615.850134,4957.369282,-9573.219416 ,3.308221   ,1.765975,
232      ,-4615.879442,4951.273303,-9567.152746 ,3.304153   ,1.728257,
233      ,-4616.106559,4952.126435,-9568.232994 ,3.304722   ,1.703821,
234      ,-4616.545044,4956.294759,-9572.839803 ,3.307504   ,1.687132,
235      ,-4616.739483,4958.339221,-9575.078705 ,3.308868   ,1.669028,
236      ,-4616.466120,4956.554158,-9573.020278 ,3.307677   ,1.646210,
237      ,-4616.212053,4955.198519,-9571.410573 ,3.306772   ,1.625399,
238      ,-4616.390197,4958.463084,-9574.853281 ,3.308951   ,1.613380,
239      ,-4616.361423,4966.333168,-9582.694591 ,3.314203   ,1.609490,
240      ,-4616.105595,4979.833127,-9595.938721 ,3.323212   ,1.615299,
241      ,-4616.387122,5000.932739,-9617.319861 ,3.337292   ,1.634450,
242      ,-4617.025204,5025.201328,-9642.226532 ,3.353488   ,1.659545,
243      ,-4617.109745,5044.350880,-9661.460625 ,3.366267   ,1.676509,
244      ,-4616.652652,5056.500813,-9673.153465 ,3.374375   ,1.682328,
245      ,-4616.300694,5067.132092,-9683.432786 ,3.381470   ,1.686237,
246      ,-4616.302947,5081.635262,-9697.938208 ,3.391148   ,1.697098,
247      ,-4616.306066,5101.771541,-9718.077607 ,3.404586   ,1.717551,
248      ,-4616.271070,5128.428020,-9744.699090 ,3.422374   ,1.749040,
249      ,-4616.427265,5161.902106,-9778.329370 ,3.444713   ,1.792047,
250      ,-4616.601076,5200.058213,-9816.659289 ,3.470176   ,1.842403,
251      ,-4617.018249,5238.966879,-9855.985128 ,3.496141   ,1.893213,
252      ,-4617.668609,5271.428889,-9889.097498 ,3.517804   ,1.932130,
253      ,-4617.962338,5288.560335,-9906.522673 ,3.529236   ,1.943841,
254      ,-4618.033373,5285.971540,-9904.004913 ,3.527509   ,1.921494,
255      ,-4617.706638,5264.906513,-9882.613151 ,3.513451   ,1.867514,
256      ,-4616.407562,5235.338039,-9851.745601 ,3.493719   ,1.797927,
257      ,-4615.891702,5216.317345,-9832.209047 ,3.481026   ,1.745412,
